org_ein,state,state_name,name,address,city,fips,ruledate,nteecc,region,division
371415172,IL,Illinois,MHCCC HOUSING CORP II C,1801 FOX DR,CHAMPAIGN,17019,2001,L50,Midwest,East North Central
371417129,CA,California,OPENING DOORS INC,1111 HOWE AVE STE 125,SACRAMENTO,6067,2002,S20,West,Pacific
371423274,NC,North Carolina,LUMBEE COMMUNITY DEVELOPMENT CORPORATION INC,636 PROSPECT ROAD,PEMBROKE,37155,2002,S20,South,South Atlantic
371427044,MO,Missouri,PARK CENTRAL DEVELOPMENT CORPORATION,4512 MANCHESTER AVE STE 100,SAINT LOUIS,29510,2003,S20,Midwest,West North Central
371442688,IL,Illinois,PARTNERS IN COMMUNITY BUILDING INC,4643 S WABASH AVE MAIN OFFICE,CHICAGO,17031,2004,S20,Midwest,East North Central
371502691,WA,Washington,SNAP FINANCIAL ACCESS,3102 W FORT GEORGE WRIGHT DR,SPOKANE,53063,2007,L118,West,Pacific
371582393,KY,Kentucky,KCEOC HOUSING CORPORATION II,PO BOX 490,BARBOURVILLE,21121,2010,L50,South,East South Central
371652353,MI,Michigan,MT OLIVE COMMUNITY DEVELOPMENT CORPORATION,424 E KENNEWORTH AVE,FLINT,26049,2015,S20,Midwest,East North Central
376053117,IL,Illinois,C E F S ECONOMIC OPPORTUNITY CORP,1805 S BANKER ST,EFFINGHAM,17049,1973,P20,Midwest,East North Central
376059503,IL,Illinois,ILLINOIS VALLEY ECONOMIC DEVELOPMENT CORPORATION,223 S MACOUPIN ST,GILLESPIE,17117,1966,P28,Midwest,East North Central
376147532,IL,Illinois,FAMILY COUNSELING CENTER INC,PO BOX 759,GOLCONDA,17151,1976,P46,Midwest,East North Central
380284520,MI,Michigan,LENAWEE ECONOMIC DEVELOPMENT CORPORATION,5285 US 223 HWY SUITE A,ADRIAN,26091,1944,S41,Midwest,East North Central
381359259,MI,Michigan,GRAND RAPIDS URBAN LEAGUE INC,745 EASTERN AVE SE,GRAND RAPIDS,26081,1975,P22,Midwest,East North Central
381387145,MI,Michigan,PRESBYTERIAN VILLAGES OF MICHIGAN,26200 LAHSER RD STE 300,SOUTHFIELD,26125,2019,P80,Midwest,East North Central
381747660,MI,Michigan,SENIOR SERVICES INC,918 JASPER ST,KALAMAZOO,26077,1966,P81,Midwest,East North Central
381785665,MI,Michigan,OAKLAND LIVINGSTON HUMAN SERVICE AGENCY,196 CESAR E CHAVEZ PO BOX 4305,PONTIAC,26125,1965,P20,Midwest,East North Central
381792679,MI,Michigan,HUMAN DEVELOPMENT COMMISSION,429 MONTAGUE AVE,CARO,26157,1966,P20,Midwest,East North Central
381794361,MI,Michigan,COMMUNITY ACTION AGENCY OF SOUTH CENTRAL MICHIGAN,175 MAIN ST,BATTLE CREEK,26025,1966,P20,Midwest,East North Central
381797320,MI,Michigan,ALGER-MARQUETTE COMMUNITY ACTION BOARD,1125 COMMERCE DR,MARQUETTE,26103,1965,P20,Midwest,East North Central
381797894,MI,Michigan,SAGINAW COUNTY COMMUNITY ACTION COMMITTEE,2824 PERKINS ST,SAGINAW,26145,1966,P20,Midwest,East North Central
381800879,MI,Michigan,BARAGA-HOUGHTON-KEWEENAW COMMUNITY ACTION AGENCY INC,926 DODGE ST,HOUGHTON,26061,1965,P20,Midwest,East North Central
381802280,MI,Michigan,MUSKEGON-OCEANA COMMUNITY ACTION PARTNERSHIP INC,1170 W SOUTHERN AVE,MUSKEGON,26121,1965,P20,Midwest,East North Central
